% Features, Reduction Technique, Classifier, Score, Duration, Error
0.1,MIM,Perceptron,0.498890181273,0.0928842504819,
0.1,MIM,Logistic Regression,0.583303894562,0.169937181473,
0.1,MIM,Linear Discriminant Analysis,0.583303894562,0.0528850833575,
0.1,MIM,Ridge,-0.059040370251,0.0170471350352,
0.1,MIM,Passive Aggressive,0.543451827281,0.0907930652301,
0.1,MIM,Linear SVM,0.583303894562,0.463537549973,
0.1,MIM,Nearest Neighbors,0.583303894562,1116.9863183,
0.1,MIM,Quadratic Discriminant Analysis,0.582385959824,1792.5836885,
0.1,MIM,Bernoulli Naive Bayes,0.583303894562,1031.58131779,
0.1,MIM,Decision Tree,0.582953412649,163.870832233,
0.1,MIM,Random Forest,0.561561364465,0.373559749126,
0.1,MIM,AdaBoost,0.573497284352,0.121002765497,
0.1,MIM,Bagging,0.582376224061,0.104170115789,
0.1,MIM,Gradient Boosting,0.583299722158,0.351579749584,
0.1,MIM,Voting,0.583303894562,1.91588419676,
0.1,JMI,Perceptron,0.498890181273,0.770806217194,
% Features, Reduction Technique, Classifier, Score, Duration, Error
0.1,JMI,Perceptron,0.498890181273,0.0729027509689,
0.1,JMI,Logistic Regression,0.583303894562,0.119240669409,
0.1,JMI,Linear Discriminant Analysis,0.583303894562,0.0455592473348,
0.1,JMI,Ridge,-0.059040370251,0.0159656008085,
0.1,JMI,Passive Aggressive,0.53147804945,0.0727672974269,
0.1,JMI,Linear SVM,0.583303894562,0.264713517825,
0.1,JMI,Nearest Neighbors,0.583303894562,1035.75155255,
0.1,JMI,Quadratic Discriminant Analysis,0.582385959824,1578.26690565,
0.1,JMI,Bernoulli Naive Bayes,0.583303894562,794.28239545,
0.1,JMI,Decision Tree,0.582953412649,110.083931502,
0.1,JMI,Random Forest,0.561561364465,0.0232076644897,
0.1,JMI,AdaBoost,0.573497284352,0.0205557306608,
0.1,JMI,Bagging,0.582376224061,0.0214386145274,
0.1,JMI,Gradient Boosting,0.582803205961,0.151078550021,
0.1,JMI,Voting,0.583303894562,1.11807835102,
0.1,MIFS,Perceptron,0.498890181273,0.0652186512947,
0.1,MIFS,Logistic Regression,0.583303894562,0.120823566119,
0.1,MIFS,Linear Discriminant Analysis,0.583303894562,0.037390033404,
0.1,MIFS,Ridge,-0.059040370251,0.0126831491788,
