% Features, Reduction Technique, Classifier, Score, Duration, Error
0.1,MIM,Perceptron,0.498890181273,0.0928842504819,
0.1,MIM,Logistic Regression,0.583303894562,0.169937181473,
0.1,MIM,Linear Discriminant Analysis,0.583303894562,0.0528850833575,
0.1,MIM,Ridge,-0.059040370251,0.0170471350352,
0.1,MIM,Passive Aggressive,0.543451827281,0.0907930652301,
0.1,MIM,Linear SVM,0.583303894562,0.463537549973,
0.1,MIM,Nearest Neighbors,0.583303894562,1116.9863183,
0.1,MIM,Quadratic Discriminant Analysis,0.582385959824,1792.5836885,
0.1,MIM,Bernoulli Naive Bayes,0.583303894562,1031.58131779,
0.1,MIM,Decision Tree,0.582953412649,163.870832233,
0.1,MIM,Random Forest,0.561561364465,0.373559749126,
0.1,MIM,AdaBoost,0.573497284352,0.121002765497,
0.1,MIM,Bagging,0.582376224061,0.104170115789,
0.1,MIM,Gradient Boosting,0.583299722158,0.351579749584,
0.1,MIM,Voting,0.583303894562,1.91588419676,
0.1,JMI,Perceptron,0.498890181273,0.770806217194,
% Features, Reduction Technique, Classifier, Score, Duration, Error
0.5,MIM,Perceptron,0.541451810065,0.124205815792,
0.5,MIM,Logistic Regression,0.585961727378,0.612587050597,
0.5,MIM,Linear Discriminant Analysis,0.585861588392,0.21220438083,
0.5,MIM,Ridge,-0.0598909696377,0.0442158341408,
0.5,MIM,Passive Aggressive,0.495613375126,0.116130284468,
0.5,MIM,Linear SVM,0.585985371076,0.595511134466,
0.5,MIM,Nearest Neighbors,0.582404043703,429.548634513,
0.5,MIM,Quadratic Discriminant Analysis,0.553683819039,0.806132332484,
0.5,MIM,Bernoulli Naive Bayes,0.571640556978,0.135134267807,
0.5,MIM,Decision Tree,0.584931137101,0.284999601046,
0.5,MIM,Random Forest,0.583296940517,0.425033116341,
0.5,MIM,AdaBoost,0.585950600987,4.43594393333,
0.5,MIM,Bagging,0.584922791384,2.98386428356,
0.5,MIM,Gradient Boosting,0.585990934784,31.2088000655,
0.5,MIM,Voting,0.585988153317,432.100847785,
0.5,JMI,Perceptron,0.539970092839,0.323442602158,
0.5,JMI,Logistic Regression,0.585772578641,0.808274614811,
0.5,JMI,Linear Discriminant Analysis,0.585744761823,0.303072933356,
0.5,JMI,Ridge,-0.0598431244156,0.0798874338468,
0.5,JMI,Passive Aggressive,0.507836002562,0.150188632806,
