% Features, Reduction Technique, Classifier, Score, Duration, Error,0.5280987,0.528098671
0.5,Truncated SVD,Random Forest,0.5872760,0.514632702,,,
0.1,Factor Analysis,Decision Tree,0.5872649,0.063190269,,,
0.5,LDA,Random Forest,0.5872594,0.625049416,,,
0.1,LDA,AdaBoost,0.5872510,1.670470901,,,
0.5,LDA,AdaBoost,0.5872510,1.760498103,,,
0.1,Truncated SVD,Decision Tree,0.5872454,0.097234333,,,
0.1,Randomized PCA,Random Forest,0.5872371,0.418796265,,,
0.1,Dictionary Learning,Decision Tree,0.5872371,0.086408381,,,
0.5,Sparse PCA,Random Forest,0.5872343,0.448140419,,,
0.1,Truncated SVD,Bernoulli Naive Bayes,0.5872329,0.034411931,,,
0.1,Truncated SVD,AdaBoost,0.5872260,2.453063583,,,
0.5,Factor Analysis,Random Forest,0.5872260,0.488121649,,,
0.1,Truncated SVD,Random Forest,0.5872246,0.450230348,,,
0.1,Factor Analysis,Random Forest,0.5872232,0.382965998,,,
0.1,Exact PCA,Random Forest,0.5872065,0.329652317,,,
0.1,Dictionary Learning,Random Forest,0.5872023,0.400369167,,,
0.1,Exact PCA,Decision Tree,0.5871773,0.077860169,,,
0.1,Randomized PCA,Decision Tree,0.5871773,0.103134664,,,
0.5,Truncated SVD,Decision Tree,0.5871745,0.466844833,,,
0.1,LDA,Random Forest,0.5871676,0.636101651,,,
0.1,Randomized PCA,Gradient Boosting,0.5871620,11.0656116,,,
0.1,Truncated SVD,Gradient Boosting,0.5871537,11.20449475,,,
0.1,Factor Analysis,AdaBoost,0.5871453,1.699144685,,,
0.1,LDA,Decision Tree,0.5871397,0.072115397,,,
0.5,LDA,Decision Tree,0.5871397,0.088143369,,,
0.1,Exact PCA,Gradient Boosting,0.5871384,10.19269777,,,
0.1,Factor Analysis,Gradient Boosting,0.5871328,12.08414372,,,
0.1,Dictionary Learning,Gradient Boosting,0.5871314,9.351119415,,,
0.5,Factor Analysis,Decision Tree,0.5871105,0.366310799,,,
0.1,Dictionary Learning,AdaBoost,0.5871091,2.061024348,,,
0.5,Sparse PCA,Decision Tree,0.5871050,0.401901964,,,
0.1,Non-Negative Matrix Factorization (reg),Random Forest,0.5871008,0.660197866,,,
0.5,Factor Analysis,Gradient Boosting,0.5870952,56.92131863,,,
0.1,LDA,Gradient Boosting,0.5870827,4.665040068,,,
0.5,LDA,Gradient Boosting,0.5870827,4.611035299,,,
0.1,Sparse PCA,Gradient Boosting,0.5870758,9.095349836,,,
0.5,Factor Analysis,AdaBoost,0.5870521,5.992857114,,,
0.5,Truncated SVD,Gradient Boosting,0.5870285,64.63490863,,,
0.5,Sparse PCA,Gradient Boosting,0.5870090,59.34672912,,,
0.5,Truncated SVD,AdaBoost,0.5869742,7.464171052,,,
0.1,Non-Negative Matrix Factorization (reg),Decision Tree,0.5868936,0.141982249,,,
0.5,Sparse PCA,AdaBoost,0.5868866,32.42316738,,,
0.1,Sparse PCA,Decision Tree,0.5868532,0.079526699,,,
0.1,Non-Negative Matrix Factorization (reg),Gradient Boosting,0.5868212,9.971711135,,,
0.1,Non-Negative Matrix Factorization (reg),AdaBoost,0.5868115,2.472521484,,,
0.1,Exact PCA,AdaBoost,0.5867489,1.934273616,,,
0.1,Randomized PCA,AdaBoost,0.5867475,2.437354167,,,
0.1,Sparse PCA,Random Forest,0.5866669,0.520781402,,,
0.1,LDA,Voting,0.5866057,28.81469957,,,
0.5,LDA,Voting,0.5866057,30.81408238,,,
0.1,LDA,Linear Discriminant Analysis,0.5865264,0.042459734,,,
0.5,LDA,Linear Discriminant Analysis,0.5865264,0.017794017,,,
0.1,LDA,Linear SVM,0.5865236,0.661597252,,,
0.5,LDA,Linear SVM,0.5865236,0.640089881,,,
0.5,Non-Negative Matrix Factorization (reg),Logistic Regression,0.5865139,0.422549899,,,
0.1,Truncated SVD,Voting,0.5865097,93.9030919,,,
0.1,LDA,Logistic Regression,0.5865014,0.083059951,,,
0.5,LDA,Logistic Regression,0.5865014,0.079624403,,,
0.5,Truncated SVD,Voting,0.5864805,210.5603171,,,
0.5,Truncated SVD,Linear SVM,0.5863359,0.953720832,,,
0.5,Truncated SVD,Logistic Regression,0.5862927,1.714106818,,,
0.5,Non-Negative Matrix Factorization (reg),Linear Discriminant Analysis,0.5862566,7.128117899,,,
0.5,CIFE,AdaBoost,0.5862538,3.64964815,,,
0.5,Sparse PCA,Linear Discriminant Analysis,0.5862315,0.544162834,,,
0.5,Truncated SVD,Linear Discriminant Analysis,0.5862065,0.296553433,,,
0.5,CIFE,Logistic Regression,0.5861926,1.081141134,,,
0.5,CIFE,Linear SVM,0.5861857,0.7322631,,,
0.5,Factor Analysis,Logistic Regression,0.5861662,0.635933685,,,
0.5,CIFE,Linear Discriminant Analysis,0.5861606,0.609383317,,,
0.5,Factor Analysis,Linear SVM,0.5861523,9.688326665,,,
0.5,Factor Analysis,Voting,0.5861384,285.7606552,,,
0.5,CIFE,Gradient Boosting,0.5861356,29.87716668,,,
0.5,Factor Analysis,Linear Discriminant Analysis,0.5861203,0.374387717,,,
0.1,Sparse PCA,AdaBoost,0.5860591,1.894790284,,,
0.5,JMI,Gradient Boosting,0.5860327,64.67594387,,,
0.5,MIM,Gradient Boosting,0.5859909,31.20880007,,,
0.5,MIFS,Gradient Boosting,0.5859909,30.01497959,,,
0.5,MIM,Voting,0.5859882,432.1008478,,,
0.5,MIFS,Voting,0.5859868,509.28567,,,
0.5,MIM,Linear SVM,0.5859854,0.595511134,,,
0.5,MIFS,Linear SVM,0.5859854,0.521531487,,,
0.5,MIM,Logistic Regression,0.5859617,0.612587051,,,
0.5,MIFS,Logistic Regression,0.5859617,0.685075867,,,
0.5,MIM,AdaBoost,0.5859506,4.435943933,,,
0.5,MIFS,AdaBoost,0.5859506,3.743548099,,,
0.5,Non-Negative Matrix Factorization (reg),Linear SVM,0.5859492,0.341617731,,,
0.5,JMI,AdaBoost,0.5858755,5.304112367,,,
0.5,MIM,Linear Discriminant Analysis,0.5858616,0.212204381,,,
0.5,MIFS,Linear Discriminant Analysis,0.5858616,0.344003999,,,
0.5,JMI,Linear SVM,0.5858129,0.465265036,,,
0.5,JMI,Voting,0.5858101,378.9560224,,,
0.5,JMI,Logistic Regression,0.5857726,0.808274615,,,
0.5,JMI,Linear Discriminant Analysis,0.5857448,0.303072933,,,
0.1,Dictionary Learning,Voting,0.5856766,102.6018323,,,
0.5,Dictionary Learning,Logistic Regression,0.5856627,0.738284798,,,
0.5,Dictionary Learning,Linear SVM,0.5856502,0.940527018,,,
0.5,Dictionary Learning,Linear Discriminant Analysis,0.5856015,0.401662286,,,
0.5,CIFE,Bagging,0.5853637,1.7998872,,,
0.5,Sparse PCA,Voting,0.5850716,233.1377192,,,
0.5,MIM,Decision Tree,0.5849311,0.284999601,,,
0.5,MIFS,Decision Tree,0.5849311,0.17088513,,,
0.5,MIM,Bagging,0.5849228,2.983864284,,,
0.1,Factor Analysis,Voting,0.5848505,96.84255493,,,
0.5,CIFE,Decision Tree,0.5848004,0.173170499,,,
0.5,JMI,Decision Tree,0.5847156,0.270572952,,,
0.5,MIFS,Bagging,0.5847156,1.883596551,,,
0.5,JMI,Bagging,0.5845904,2.823733199,,,
0.1,Sparse PCA,Bagging,0.5838282,1.131439964,,,
0.1,Truncated SVD,Bagging,0.5837643,2.025952534,,,
0.5,Factor Analysis,Bagging,0.5836252,5.620889099,,,
0.5,Dictionary Learning,Bagging,0.5835932,6.765374299,,,
0.5,Sparse PCA,Bagging,0.5835876,10.04598142,,,
0.1,Non-Negative Matrix Factorization (reg),Bagging,0.5835695,1.314394319,,,
0.5,Truncated SVD,Bagging,0.5835431,13.91334403,,,
0.1,Exact PCA,Bagging,0.5835070,1.239623531,,,
0.1,Factor Analysis,Bagging,0.5834611,1.239677684,,,
0.5,LDA,Bagging,0.5834458,1.458561297,,,
0.1,Dictionary Learning,Bagging,0.5834221,2.393495552,,,
0.1,LDA,Bagging,0.5833985,1.354971182,,,
0.5,JMI,Random Forest,0.5833053,0.412181664,,,
0.5,CIFE,Random Forest,0.5833053,0.310385549,,,
0.1,MIM,Logistic Regression,0.5833039,0.169937181,,,
0.1,MIM,Linear Discriminant Analysis,0.5833039,0.052885083,,,
0.1,MIM,Linear SVM,0.5833039,0.46353755,,,
0.1,MIM,Nearest Neighbors,0.5833039,1116.986318,,,
0.1,LDA,Bernoulli Naive Bayes,0.5833039,0.02514625,,,
0.1,Factor Analysis,Logistic Regression,0.5833039,0.147426601,,,
0.1,Factor Analysis,Linear Discriminant Analysis,0.5833039,0.065354701,,,
0.1,Factor Analysis,Linear SVM,0.5833039,3.801271586,,,
0.1,Sparse PCA,Logistic Regression,0.5833039,0.366524899,,,
0.1,Sparse PCA,Linear SVM,0.5833039,0.292694716,,,
0.1,Sparse PCA,Bernoulli Naive Bayes,0.5833039,0.0624711,,,
0.1,Sparse PCA,Voting,0.5833039,68.39794643,,,
0.1,Non-Negative Matrix Factorization (reg),Logistic Regression,0.5833039,0.164798315,,,
0.1,Non-Negative Matrix Factorization (reg),Linear Discriminant Analysis,0.5833039,0.048340718,,,
0.1,Non-Negative Matrix Factorization (reg),Linear SVM,0.5833039,0.238396168,,,
0.1,Exact PCA,Bernoulli Naive Bayes,0.5833039,0.027330232,,,
0.1,Randomized PCA,Bernoulli Naive Bayes,0.5833039,0.033446435,,,
0.5,LDA,Bernoulli Naive Bayes,0.5833039,0.0324423,,,
0.5,Sparse PCA,Logistic Regression,0.5833039,1.687999447,,,
0.5,Sparse PCA,Linear SVM,0.5833039,0.597854535,,,
0.5,Dictionary Learning,Random Forest,0.5833025,0.248840201,,,
0.5,MIM,Random Forest,0.5832969,0.425033116,,,
0.5,MIFS,Random Forest,0.5832914,0.25288885,,,
0.1,Non-Negative Matrix Factorization (reg),Voting,0.5832900,88.39935858,,,
0.1,Randomized PCA,Voting,0.5832761,80.5473691,,,
0.1,Dictionary Learning,Linear SVM,0.5832663,0.7008581,,,
0.1,Dictionary Learning,Logistic Regression,0.5832594,0.190163799,,,
0.1,Randomized PCA,Bagging,0.5832580,1.517820319,,,
0.1,Truncated SVD,Linear SVM,0.5832455,0.431213832,,,
0.1,Exact PCA,Voting,0.5832385,89.98372817,,,
0.5,Dictionary Learning,Gradient Boosting,0.5832274,24.72429935,,,
0.1,Exact PCA,Linear SVM,0.5832177,0.431215449,,,
0.1,Randomized PCA,Linear SVM,0.5832177,0.401267449,,,
0.1,Dictionary Learning,Linear Discriminant Analysis,0.5832093,0.059204948,,,
0.1,Exact PCA,Logistic Regression,0.5831940,0.171376816,,,
0.1,Randomized PCA,Logistic Regression,0.5831940,0.140900036,,,
0.1,Exact PCA,Linear Discriminant Analysis,0.5831912,0.055359185,,,
0.1,Randomized PCA,Linear Discriminant Analysis,0.5831912,0.060494868,,,
0.5,Dictionary Learning,Decision Tree,0.5831440,0.184204801,,,
0.1,Truncated SVD,Logistic Regression,0.5831384,0.205066649,,,
