% Features, Reduction Technique, Classifier, Score, Duration, Error
0.1,LDA,Perceptron,0.533967617392,0.0622492829959,
0.1,LDA,Logistic Regression,0.586501363869,0.0830599506696,
0.1,LDA,Linear Discriminant Analysis,0.586526398368,0.0424597342809,
0.1,LDA,Ridge,-0.0586839408,0.00963138341904,
0.1,LDA,Passive Aggressive,0.499295094001,0.0780934135119,
0.1,LDA,Linear SVM,0.586523617114,0.661597251892,
0.1,LDA,Nearest Neighbors,0.556827053577,21.463226366,
0.1,LDA,Quadratic Discriminant Analysis,0.581141170294,0.0195839484533,
0.1,LDA,Bernoulli Naive Bayes,0.583303894562,0.0251462499301,
0.1,LDA,Decision Tree,0.587139746242,0.0721153974533,
0.1,LDA,Random Forest,0.587167562189,0.636101651192,
0.1,LDA,AdaBoost,0.58725101067,1.67047090133,
0.1,LDA,Bagging,0.583398468582,1.35497118235,
0.1,LDA,Gradient Boosting,0.587082722695,4.66504006783,
0.1,LDA,Voting,0.586605673304,28.8146995664,
0.1,Truncated SVD,Perceptron,0.553405492148,0.092987382412,
0.1,Truncated SVD,Logistic Regression,0.583138387531,0.205066649119,
0.1,Truncated SVD,Linear Discriminant Analysis,0.583131433448,0.0557360013326,
0.1,Truncated SVD,Ridge,-0.0597088684996,0.0163865327835,
0.1,Truncated SVD,Passive Aggressive,0.527344773267,0.106572532654,
0.1,Truncated SVD,Linear SVM,0.583245480736,0.431213831902,
0.1,Truncated SVD,Nearest Neighbors,0.556539199271,90.8228100022,
0.1,Truncated SVD,Quadratic Discriminant Analysis,0.573280318179,0.0409177303314,
0.1,Truncated SVD,Bernoulli Naive Bayes,0.587232929886,0.0344119310379,
0.1,Truncated SVD,Decision Tree,0.587245446614,0.0972343325615,
0.1,Truncated SVD,Random Forest,0.587224584905,0.45023034811,
0.1,Truncated SVD,AdaBoost,0.587225975745,2.45306358337,
0.1,Truncated SVD,Bagging,0.58376425281,2.02595253388,
0.1,Truncated SVD,Gradient Boosting,0.587153654138,11.2044947465,
0.1,Truncated SVD,Voting,0.586509711191,93.9030918996,
0.1,Dictionary Learning,Perceptron,0.536518369325,0.0867628494898,
0.1,Dictionary Learning,Logistic Regression,0.583259388903,0.190163799127,
0.1,Dictionary Learning,Linear Discriminant Analysis,0.58320931913,0.0592049479485,
0.1,Dictionary Learning,Ridge,-0.0596707880877,0.0168796658516,
0.1,Dictionary Learning,Passive Aggressive,0.500013886519,0.09150228103,
0.1,Dictionary Learning,Linear SVM,0.58326634289,0.700858100255,
0.1,Dictionary Learning,Nearest Neighbors,0.554701923461,111.575965599,
0.1,Dictionary Learning,Quadratic Discriminant Analysis,0.573397148326,0.0603994488716,
0.1,Dictionary Learning,Bernoulli Naive Bayes,0.569782435572,0.0346524318059,
0.1,Dictionary Learning,Decision Tree,0.587237101381,0.0864083806674,
0.1,Dictionary Learning,Random Forest,0.587202332085,0.400369167328,
0.1,Dictionary Learning,AdaBoost,0.58710914521,2.06102434794,
0.1,Dictionary Learning,Bagging,0.583422110037,2.39349555175,
0.1,Dictionary Learning,Gradient Boosting,0.587131400061,9.35111941497,
0.1,Dictionary Learning,Voting,0.58567662355,102.601832318,
0.1,Factor Analysis,Perceptron,0.528711444585,0.0977297822634,
0.1,Factor Analysis,Logistic Regression,0.583303894562,0.147426601251,
0.1,Factor Analysis,Linear Discriminant Analysis,0.583303894562,0.0653547008832,
